Date,Rental price,Rental price one bed,Rental price two bed,Rental price three bed,Rental price four or more bed
2015-01-01,918,736,844,931,1403
2015-02-01,920,739,846,934,1405
2015-03-01,924,742,849,937,1412
2015-04-01,926,745,852,939,1414
2015-05-01,930,748,855,942,1419
2015-06-01,931,750,857,945,1419
2015-07-01,934,752,859,946,1422
2015-08-01,938,755,862,951,1432
2015-09-01,940,757,864,953,1438
2015-10-01,942,759,866,955,1440
2015-11-01,944,759,868,958,1444
2015-12-01,946,762,869,960,1447
2016-01-01,949,766,872,963,1450
2016-02-01,951,767,874,965,1450
2016-03-01,954,769,877,968,1455
2016-04-01,956,772,879,971,1459
2016-05-01,960,775,882,974,1463
2016-06-01,961,775,883,976,1468
2016-07-01,965,778,886,980,1474
2016-08-01,968,781,888,983,1481
2016-09-01,971,782,891,986,1486
2016-10-01,974,784,893,989,1490
2016-11-01,977,787,896,993,1494
2016-12-01,979,788,897,995,1498
2017-01-01,982,790,900,998,1501
2017-02-01,983,791,901,999,1503
2017-03-01,983,791,901,1000,1504
2017-04-01,986,794,904,1003,1509
2017-05-01,986,794,904,1003,1509
2017-06-01,989,797,907,1006,1513
2017-07-01,991,798,908,1008,1516
2017-08-01,992,799,909,1009,1516
2017-09-01,992,798,909,1010,1519
2017-10-01,993,800,910,1012,1517
2017-11-01,994,800,911,1013,1516
2017-12-01,995,800,912,1014,1519
2018-01-01,994,800,912,1014,1516
2018-02-01,995,800,912,1015,1518
2018-03-01,994,800,912,1014,1517
2018-04-01,995,800,912,1015,1518
2018-05-01,995,799,912,1015,1518
2018-06-01,997,801,914,1017,1521
2018-07-01,998,801,915,1019,1524
2018-08-01,999,802,916,1021,1529
2018-09-01,1001,803,917,1023,1530
2018-10-01,1003,804,918,1025,1537
2018-11-01,1005,804,920,1027,1541
2018-12-01,1007,805,922,1028,1547
2019-01-01,1008,807,922,1029,1549
2019-02-01,1009,808,924,1031,1549
2019-03-01,1011,811,925,1032,1550
2019-04-01,1011,811,925,1032,1549
2019-05-01,1016,815,929,1036,1556
2019-06-01,1016,817,930,1037,1554
2019-07-01,1017,818,931,1038,1554
2019-08-01,1019,820,932,1039,1557
2019-09-01,1022,822,934,1041,1564
2019-10-01,1024,825,936,1043,1566
2019-11-01,1027,827,938,1045,1569
2019-12-01,1029,830,940,1047,1571
2020-01-01,1029,831,941,1048,1568
2020-02-01,1031,833,942,1050,1570
2020-03-01,1032,835,943,1051,1570
2020-04-01,1032,834,943,1051,1569
2020-05-01,1033,835,945,1053,1571
2020-06-01,1034,836,946,1054,1572
2020-07-01,1035,837,947,1055,1574
2020-08-01,1036,837,948,1056,1577
2020-09-01,1038,838,949,1058,1581
2020-10-01,1039,839,950,1059,1583
2020-11-01,1039,839,950,1060,1580
2020-12-01,1040,839,950,1061,1580
2021-01-01,1041,839,952,1063,1579
2021-02-01,1042,839,953,1066,1586
2021-03-01,1043,839,954,1067,1590
2021-04-01,1043,838,953,1067,1592
2021-05-01,1043,837,953,1069,1594
2021-06-01,1045,838,954,1071,1597
2021-07-01,1046,838,955,1073,1601
2021-08-01,1049,839,957,1076,1608
2021-09-01,1051,839,958,1078,1617
2021-10-01,1055,841,961,1082,1627
2021-11-01,1058,842,965,1086,1634
2021-12-01,1064,846,969,1093,1647
2022-01-01,1068,848,973,1097,1651
2022-02-01,1072,851,976,1102,1661
2022-03-01,1076,854,980,1106,1666
2022-04-01,1080,857,983,1111,1669
2022-05-01,1084,860,987,1115,1679
2022-06-01,1088,863,990,1119,1685
2022-07-01,1093,867,995,1123,1693
2022-08-01,1099,872,1000,1129,1702
2022-09-01,1105,877,1005,1135,1713
2022-10-01,1109,880,1009,1140,1721
2022-11-01,1117,885,1015,1148,1731
2022-12-01,1123,891,1021,1154,1740
2023-01-01,1130,896,1027,1161,1751
2023-02-01,1136,901,1033,1167,1759
2023-03-01,1142,906,1038,1173,1769
2023-04-01,1151,913,1047,1182,1781
2023-05-01,1161,923,1056,1192,1796
2023-06-01,1170,930,1064,1201,1810
2023-07-01,1178,937,1072,1210,1823
2023-08-01,1186,944,1079,1218,1834
2023-09-01,1194,950,1086,1226,1846
2023-10-01,1202,957,1093,1233,1858
2023-11-01,1209,963,1100,1240,1864
2023-12-01,1217,969,1107,1248,1871
2024-01-01,1226,977,1115,1258,1885
2024-02-01,1238,987,1126,1270,1901
2024-03-01,1246,995,1134,1279,1912
2024-04-01,1254,1002,1141,1286,1920
2024-05-01,1262,1009,1149,1294,1932
2024-06-01,1271,1017,1157,1303,1940
2024-07-01,1279,1024,1165,1311,1949
2024-08-01,1286,1032,1172,1319,1957
2024-09-01,1295,1039,1179,1327,1966
