Whole economy,Date
47.274,1997-01-01
48.3032,1997-04-01
49.1068,1997-07-01
49.6227,1997-10-01
49.3966,1998-01-01
50.3592,1998-04-01
51.1336,1998-07-01
51.7976,1998-10-01
53.0371,1999-01-01
54.095,1999-04-01
54.8406,1999-07-01
55.4344,1999-10-01
56.9217,2000-01-01
57.4109,2000-04-01
58.6448,2000-07-01
59.6754,2000-10-01
61.3201,2001-01-01
60.7874,2001-04-01
61.2181,2001-07-01
61.8051,2001-10-01
62.4399,2002-01-01
62.9425,2002-04-01
62.9514,2002-07-01
63.5413,2002-10-01
64.477,2003-01-01
64.7933,2003-04-01
66.2993,2003-07-01
67.5232,2003-10-01
68.3152,2004-01-01
68.8561,2004-04-01
70.1273,2004-07-01
70.5486,2004-10-01
71.9841,2005-01-01
72.086,2005-04-01
72.9373,2005-07-01
73.2513,2005-10-01
75.502,2006-01-01
75.3349,2006-04-01
76.4794,2006-07-01
78.1685,2006-10-01
79.6341,2007-01-01
79.6244,2007-04-01
81.1536,2007-07-01
80.8641,2007-10-01
81.3348,2008-01-01
81.3774,2008-04-01
80.918,2008-07-01
81.1046,2008-10-01
81.6214,2009-01-01
83.1143,2009-04-01
83.318,2009-07-01
84.3764,2009-10-01
85.1453,2010-01-01
84.5212,2010-04-01
84.768,2010-07-01
84.524,2010-10-01
86.3211,2011-01-01
86.4302,2011-04-01
85.6853,2011-07-01
85.6744,2011-10-01
86.2197,2012-01-01
86.2442,2012-04-01
85.4377,2012-07-01
85.4707,2012-10-01
85.6957,2013-01-01
88.2891,2013-04-01
87.6342,2013-07-01
88.4896,2013-10-01
88.5444,2014-01-01
87.1638,2014-04-01
86.5563,2014-07-01
86.9118,2014-10-01
87.9427,2015-01-01
89.0017,2015-04-01
90.2871,2015-07-01
88.8225,2015-10-01
90.0497,2016-01-01
91.4436,2016-04-01
91.7999,2016-07-01
91.5979,2016-10-01
92.45,2017-01-01
93.6254,2017-04-01
95.033,2017-07-01
95.3672,2017-10-01
96.8702,2018-01-01
96.5338,2018-04-01
97.0495,2018-07-01
98.3804,2018-10-01
98.6477,2019-01-01
100.3612,2019-04-01
100.2861,2019-07-01
100.7072,2019-10-01
102.0665,2020-01-01
107.2003,2020-04-01
109.6608,2020-07-01
108.1443,2020-10-01
109.4372,2021-01-01
107.6636,2021-04-01
107.7086,2021-07-01
110.1615,2021-10-01
111.8061,2022-01-01
112.8133,2022-04-01
115.2533,2022-07-01
116.9842,2022-10-01
118.6103,2023-01-01
121.897,2023-04-01
124.5122,2023-07-01
124.6665,2023-10-01
125.1872,2024-01-01
