Whole economy,Date
92.4513,1997-01-01
94.1913,1997-04-01
92.656,1997-07-01
94.941,1997-10-01
92.9939,1998-01-01
94.1331,1998-04-01
95.1078,1998-07-01
94.4304,1998-10-01
96.9093,1999-01-01
98.1218,1999-04-01
99.0061,1999-07-01
97.8907,1999-10-01
97.5298,2000-01-01
99.1436,2000-04-01
100.344,2000-07-01
101.9161,2000-10-01
102.4993,2001-01-01
101.1449,2001-04-01
101.09,2001-07-01
101.783,2001-10-01
101.3288,2002-01-01
100.5393,2002-04-01
99.9415,2002-07-01
99.2301,2002-10-01
99.4965,2003-01-01
98.6939,2003-04-01
99.218,2003-07-01
100.3123,2003-10-01
101.9044,2004-01-01
99.8695,2004-04-01
101.1501,2004-07-01
100.8107,2004-10-01
101.9916,2005-01-01
99.7395,2005-04-01
100.778,2005-07-01
99.5927,2005-10-01
101.8287,2006-01-01
99.6937,2006-04-01
100.3549,2006-07-01
102.7587,2006-10-01
103.9523,2007-01-01
101.4536,2007-04-01
102.7811,2007-07-01
101.5327,2007-10-01
102.0239,2008-01-01
100.3635,2008-04-01
99.3068,2008-07-01
99.7492,2008-10-01
100.4572,2009-01-01
102.3685,2009-04-01
101.8439,2009-07-01
103.9311,2009-10-01
103.0325,2010-01-01
102.9638,2010-04-01
101.8173,2010-07-01
101.3025,2010-10-01
102.569,2011-01-01
102.1289,2011-04-01
101.3018,2011-07-01
100.0855,2011-10-01
100.5978,2012-01-01
100.9686,2012-04-01
99.695,2012-07-01
99.8978,2012-10-01
99.0199,2013-01-01
101.2628,2013-04-01
100.5782,2013-07-01
100.8862,2013-10-01
100.7786,2014-01-01
99.1508,2014-04-01
96.7909,2014-07-01
97.4928,2014-10-01
98.3793,2015-01-01
98.9191,2015-04-01
99.96,2015-07-01
99.0772,2015-10-01
99.1552,2016-01-01
99.7701,2016-04-01
99.0882,2016-07-01
98.1403,2016-10-01
98.3594,2017-01-01
99.2854,2017-04-01
99.3992,2017-07-01
98.1298,2017-10-01
99.7409,2018-01-01
99.0919,2018-04-01
99.5344,2018-07-01
99.8507,2018-10-01
100.4544,2019-01-01
100.8999,2019-04-01
99.6134,2019-07-01
99.061,2019-10-01
100.5739,2020-01-01
100.5516,2020-04-01
99.4265,2020-07-01
102.2106,2020-10-01
101.3504,2021-01-01
100.524,2021-04-01
101.1741,2021-07-01
101.0052,2021-10-01
100.858,2022-01-01
99.63,2022-04-01
100.2333,2022-07-01
97.8333,2022-10-01
96.9563,2023-01-01
99.0828,2023-04-01
100.1158,2023-07-01
101.0785,2023-10-01
100.936,2024-01-01
