Whole economy,Date
61.5004,1997-01-01
62.5617,1997-04-01
63.2598,1997-07-01
63.0176,1997-10-01
62.5331,1998-01-01
63.3087,1998-04-01
64.2772,1998-07-01
64.2709,1998-10-01
65.7515,1999-01-01
66.9463,1999-04-01
67.0379,1999-07-01
66.9417,1999-10-01
67.0384,2000-01-01
67.8902,2000-04-01
68.9207,2000-07-01
70.19,2000-10-01
71.2736,2001-01-01
70.8553,2001-04-01
70.9334,2001-07-01
71.3443,2001-10-01
71.7777,2002-01-01
71.747,2002-04-01
71.7051,2002-07-01
71.9124,2002-10-01
72.4757,2003-01-01
72.3591,2003-04-01
73.4524,2003-07-01
73.8403,2003-10-01
75.2614,2004-01-01
75.2266,2004-04-01
76.5849,2004-07-01
77.4845,2004-10-01
78.4819,2005-01-01
77.7907,2005-04-01
78.5386,2005-07-01
78.0548,2005-10-01
80.1948,2006-01-01
79.6486,2006-04-01
80.8372,2006-07-01
82.545,2006-10-01
83.3766,2007-01-01
83.0674,2007-04-01
84.2919,2007-07-01
83.5457,2007-10-01
84.5577,2008-01-01
83.9847,2008-04-01
84.8884,2008-07-01
86.4466,2008-10-01
87.2347,2009-01-01
88.8605,2009-04-01
88.5516,2009-07-01
89.4059,2009-10-01
89.1799,2010-01-01
88.2781,2010-04-01
88.4783,2010-07-01
88.517,2010-10-01
90.1981,2011-01-01
89.2885,2011-04-01
88.7404,2011-07-01
88.4439,2011-10-01
89.0414,2012-01-01
89.7731,2012-04-01
88.9443,2012-07-01
89.3457,2012-10-01
89.462,2013-01-01
91.7651,2013-04-01
91.5267,2013-07-01
92.0068,2013-10-01
92.108,2014-01-01
90.6567,2014-04-01
89.5407,2014-07-01
89.8573,2014-10-01
91.0203,2015-01-01
91.5209,2015-04-01
92.6224,2015-07-01
92.4698,2015-10-01
92.8406,2016-01-01
93.8922,2016-04-01
93.9934,2016-07-01
93.4608,2016-10-01
94.1107,2017-01-01
95.2354,2017-04-01
95.1895,2017-07-01
95.1513,2017-10-01
97.0365,2018-01-01
96.6618,2018-04-01
97.6876,2018-07-01
98.8303,2018-10-01
99.4111,2019-01-01
100.7628,2019-04-01
99.8501,2019-07-01
99.8501,2019-10-01
102.1928,2020-01-01
110.6445,2020-04-01
104.5217,2020-07-01
107.389,2020-10-01
108.195,2021-01-01
104.7511,2021-04-01
105.9558,2021-07-01
107.0516,2021-10-01
109.6244,2022-01-01
110.5512,2022-04-01
112.5267,2022-07-01
114.3924,2022-10-01
116.7086,2023-01-01
119.2725,2023-04-01
120.9273,2023-07-01
122.2198,2023-10-01
122.9986,2024-01-01
